hash,id,fecha_vencimiento,divisa,nombre_cliente,fecha_emision,importe,concepto
"fsabv-2455##rsm spain asesores legales y tributarios, slp",fsabv-2455,2022-11-30,EUR,"rsm spain asesores legales y tributarios, slp",2022-10-31,"-445,28",asesoramiento legal oct 2022
"fsabv-2560##rsm spain asesores legales y tributarios, slp",fsabv-2560,2022-12-30,EUR,"rsm spain asesores legales y tributarios, slp",2022-11-30,"-445,28",asesoramiento legal nov 2022
"fsabv-2552##project building ctteam, s.l.",fsabv-2552,2022-12-29,EUR,"project building ctteam, s.l.",2022-11-29,"-432,89",reparaciones of bcn
fsabv-2647##empresa 2,fsabv-2647,2023-01-05,EUR,empresa 2,2022-12-07,"-367,2",alquiler oficina a coruna dic 2022
10002200##remesasbancos,10002200,2022-10-21,EUR,remesasbancos,2022-10-21,"-358,93",remesa 21-10-2022
"fsabv-2363##mitanni consultores asoc, s.l.p.",fsabv-2363,2022-12-01,EUR,"mitanni consultores asoc, s.l.p.",2022-10-01,"-350,9",minuta honorarios oct 2022
"fsabv-2494##mitanni consultores asoc, s.l.p.",fsabv-2494,2023-01-02,EUR,"mitanni consultores asoc, s.l.p.",2022-11-01,"-350,9",minuta honorarios nov 2022
"fsabv-2630##mitanni consultores asoc, s.l.p.",fsabv-2630,2023-02-01,EUR,"mitanni consultores asoc, s.l.p.",2022-12-01,"-350,9",minuta honorarios dic 2022
fsabv-2354##empresa 2,fsabv-2354,2022-10-05,EUR,empresa 2,2022-10-01,"-303,96",alquiler oficina a coruna oct 2022
"fsabv-2504##informatica boss, s.l.",fsabv-2504,2022-11-05,EUR,"informatica boss, s.l.",2022-11-02,"-303,96",alquiler oficina a coruna nov 2022
fsabv-2637##restaurante espacio gastronomico sl.,fsabv-2637,2023-01-02,EUR,restaurante espacio gastronomico sl.,2022-12-01,-302,cena navidad 2022 of vig
fsabv-2411##pepe,fsabv-2411,2022-11-14,EUR,pepe,2022-10-13,"-297,85",taller grafico de arte
"fsabv-2487##cu2 cloud tec store, s.l.",fsabv-2487,2022-12-01,EUR,"cu2 cloud tec store, s.l.",2022-11-01,"-293,18",google workspace oct 2022
"fsabv-2488##dkv seguros y reaseguros, s.a.e.",fsabv-2488,2022-11-01,EUR,"dkv seguros y reaseguros, s.a.e.",2022-11-01,"-292,35",mutua dkv seguros nov 2022
"fsabv-2289##cu2 cloud tec store, s.l.",fsabv-2289,2022-10-31,EUR,"cu2 cloud tec store, s.l.",2022-09-30,"-292,13",google workspace sep 2022
"fsabv-2199##cu2 cloud tec store, s.l.",fsabv-2199,2022-09-30,EUR,"cu2 cloud tec store, s.l.",2022-08-31,"-289,86",google workspace ago 2022
fsabv-2364##interactive advertising bureau spain - iab spain,fsabv-2364,2022-11-01,EUR,interactive advertising bureau spain - iab spain,2022-10-01,"-271,8",cuota trimestral 4 2022
10002218##remesasbancos,10002218,2022-11-14,EUR,remesasbancos,2022-11-14,"-259,47",remesa 14-11-2022
"fsabv-2362##dkv seguros y reaseguros, s.a.e.",fsabv-2362,2022-10-01,EUR,"dkv seguros y reaseguros, s.a.e.",2022-10-01,"-255,81",mutua dkv seguros oct 2022
fsabv-2369##nan,fsabv-2369,2022-11-01,EUR,,2022-10-02,"-232,31",cuota leasing 32/60 oct 2022
fsabv-2564##nan,fsabv-2564,2022-12-01,EUR,,2022-11-02,"-232,31",cuota leasing 33/60 nov 2022
fsabv-2639##nan,fsabv-2639,2023-01-01,EUR,,2022-12-02,"-232,31",cuota leasing 34/60 dic 2022
"fsabv-2202##green net professional services, sl",fsabv-2202,2022-09-30,EUR,"green net professional services, sl",2022-08-31,"-223,16",limpieza oficina barcelona ago 2022
"fsabv-2286##green net professional services, sl",fsabv-2286,2022-10-31,EUR,"green net professional services, sl",2022-09-30,"-223,16",limpieza oficina barcelona sep 2022
"fsabv-2556##green net professional services, sl",fsabv-2556,2022-12-30,EUR,"green net professional services, sl",2022-11-30,"-223,16",limpieza oficina barcelona nov 2022
"fsabv-2287##lhyp aslym, s.l.",fsabv-2287,2022-10-31,EUR,"lhyp aslym, s.l.",2022-09-30,"-195,87",limpieza oficina vigo sep 2022
"fsabv-2450##lhyp aslym, s.l.",fsabv-2450,2022-11-30,EUR,"lhyp aslym, s.l.",2022-10-31,"-195,87",limpieza oficina vigo oct 2022
"fsabv-2557##lhyp aslym, s.l.",fsabv-2557,2022-12-30,EUR,"lhyp aslym, s.l.",2022-11-30,"-195,87",limpieza oficina vigo nov 2022
"fsabv-2278##quiron prevencion, s.l.u.",fsabv-2278,2022-09-23,EUR,"quiron prevencion, s.l.u.",2022-09-23,"-191,6",cuota 4t 2022 prevencion integral
10002211##remesasbancos,10002211,2022-11-04,EUR,remesasbancos,2022-11-04,"-183,85",remesa 04-11-2022
10002226##remesasbancos,10002226,2022-11-25,EUR,remesasbancos,2022-11-25,"-148,38",remesa 25-11-2022
"fsabv-2460##vinyals corredora dassegurances, s.a.",fsabv-2460,2022-10-25,EUR,"vinyals corredora dassegurances, s.a.",2022-10-25,"-135,87",poliza 8211500026350 seguro of. barcelona (19/10/2022 - 19/10/2023)
10002193##remesasbancos,10002193,2022-10-14,EUR,remesasbancos,2022-10-14,"-122,93",remesa 14-10-2022
"fsabv-2554##ciutat vella courier, s.l.",fsabv-2554,2022-12-25,EUR,"ciutat vella courier, s.l.",2022-11-30,"-106,2",mrw of. bcn nov 2022
"fsabv-2483##el iot blau, s.l.",fsabv-2483,2022-10-14,EUR,"el iot blau, s.l.",2022-10-14,"-104,41",comida 8 pax
